,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,Russia,China,Hong Kong,Thailand,India,Cambodia,Japan,Colombia,United States,Israel,Peru,Indonesia,Botswana,Pakistan,Netherlands,Vietnam,Germany,Spain,Turkey,Venezuela,Costa Rica,Philippines,Brazil,Italy,Taiwan,Poland,Malaysia,Nigeria,Saudi Arabia,Tunisia,Egypt,Mexico,Republic of Moldova,Estonia,Ukraine,Morocco,Uruguay,Austria,France,Kyrgyzstan,Kazakhstan,Ethiopia,Iran,Romania,Belarus,Seychelles,Palestine,Libya,Singapore,Kenya,United Kingdom,Bulgaria
1,3112,365,35,57,105,20,19,21,77,47,16,56,10,30,24,103,13,9,33,50,5,18,55,14,34,5,9,10,4,4,10,15,6,4,3,4,6,3,11,5,3,3,5,2,2,2,2,2,2,2,2,1
